,Index,Deepness of Shock,Indicator of Renovation
0,DJI,-0.35266821345707655,0.8793503480278423
1,SPX,-0.2694819706667081,0.8950030818954298
2,GDAXI,-0.35413141850038377,0.79775003105535
3,FCHI,-0.24103130476627038,1.2127791008531605
4,Nikkei,-0.24253499172185197,1.2103763138536345
5,FTSE China,-0.13223653493065538,0.9542624044414726
6,WIG20,-0.37208016209388367,0.765320093432331
7,BVSP,-0.4232758151434326,0.705841605194723
8,Nifty 50,-0.24304526852061298,1.2081209940259505
